task_id,arrival_time,category,latency,start_time,wait_time,service_time,response_time,accepted,end_time,deadline,status,task_microservices,completed_microservices
71,6360,1,320.42785706652796,6444.40586864,84.40586864000034,46.91921780663806,158.14826762787015,True,6518.14826762787,6535,completed,"[213, 214, 215, 216]","{216, 213, 214, 215}"
72,6480,1,241.48891122856003,6598.4706659720005,118.47066597200046,2.4581607179589935,124.15119518587017,True,6604.15119518587,6626,completed,"[217, 218]","{217, 218}"
73,6540,3,0,,0,0,,False,,6656,rejected,[219],set()
74,6570,1,0,,0,0,,False,6716.768171561898,6717,rejected,"[220, 221, 222]","{220, 221}"
75,6660,1,393.3475048952,6762.31496195912,102.31496195912041,2.7914396234128613,132.50910249222306,True,6792.509102492223,6847,completed,"[223, 224, 225, 226]","{224, 225, 226, 223}"
76,6780,2,0,,0,0,,False,6938.014387443174,6939,rejected,"[227, 228, 229, 230, 231]","{227, 228, 229, 231}"
77,6930,1,0,,0,0,,False,6946.856103197295,7079,rejected,"[232, 233, 234]","{233, 234}"
78,7020,1,167.049876119136,7028.649226944656,8.64922694465622,12.32421078874608,102.77393695102273,True,7122.773936951023,7163,completed,"[235, 236, 237]","{235, 236, 237}"
79,7110,2,431.386908128544,7122.607950673184,12.60795067318395,11.744947034620369,151.0192266134518,True,7261.019226613452,7268,completed,"[238, 239, 240, 241, 242]","{238, 239, 240, 241, 242}"
80,7260,2,473.7275237124,7325.15255714096,65.1525571409602,15.411773670063612,144.63574379801048,True,7404.6357437980105,7419,completed,"[243, 244, 245, 246, 247]","{243, 244, 245, 246, 247}"
81,7410,1,214.19965951400002,7421.0511084096,11.051108409599692,0.8870658582854054,111.78608173580506,True,7521.786081735805,7560,completed,"[248, 249, 250]","{248, 249, 250}"
82,7500,1,241.63241620128,7550.353615574,50.35361557400029,15.160836741661441,103.79198471605105,True,7603.791984716051,7650,completed,"[251, 252, 253]","{251, 252, 253}"
83,7590,1,0,,0,0,,False,7683.5718552611315,7722,rejected,"[254, 255]",{254}
84,7650,2,0,,0,0,,False,7761.388330372425,7812,rejected,"[256, 257, 258, 259]","{256, 257, 259}"
85,7770,1,214.91753027087998,7809.066744416,39.06674441599989,1.2396423028323205,136.83053707027193,True,7906.830537070272,7920,completed,"[260, 261, 262]","{260, 261, 262}"
86,7860,3,127.04240278832002,7937.75414749232,77.75414749232004,1.3505858856986208,79.43113337801788,True,7939.431133378018,7982,completed,"[263, 264]","{264, 263}"
87,7920,2,396.73164049472,7955.2264165172,35.22641651720005,40.2861335932729,152.52234883992423,True,8072.522348839924,8092,completed,"[265, 266, 267, 268]","{265, 266, 267, 268}"
