task_id,microservice_id,instructions,bytes,dependencies,storage_req,status,arrival_time,start_time,latency,wait_time,service_time,response_time,spin_up_delay,end_time,deadline,assigned_resource,nearest_resource,resource_IPT,resource_storage
54,164,2369.677238,332.5648864,,16.15536012,completed,4800,4906.510763648,106.510763648,0,0.04739354476,213.06892084075935,0.0,4906.55815719276,4959,CentralCloud(4),Edge_cloud(3),50000,1000000
54,165,2485.458239,794.596178,"164,162,163",8.917787586,completed,4800,4937.877008986162,127.78206542240001,10.094943563761845,0.8570545651724139,266.51612897373434,4937.877008986162,4938.734063551335,4959,Edge_cloud(1),Edge_cloud(3),2900,64
55,166,4680.975928,466.8310568,,41.32605064,rejected,4950,,0,0,0,0,0.0,,5089,,Edge_cloud(2),,
55,167,3221.720855,733.5098484,166,29.74288063,rejected,4950,,0,0,0,0,0,,5089,,Edge_cloud(2),,
56,168,4503.471738,156.5043059,,31.03892357,completed,5010,5035.17689238872,25.176892388720002,2.5934809855243657e-13,40.940652163636365,91.29443694107704,0.0,5076.117544552357,5183,Edge_cloud(0),Edge_cloud(1),110,64
56,169,2336.893391,854.0322041,168,41.20750918,completed,5010,5147.33937841928,137.33937841928,3.694822225952521e-13,21.244485372727272,295.9232422112882,5076.117544552357,5168.583863792008,5183,Edge_cloud(0),Edge_cloud(1),110,64
56,170,832.2376667,713.7758695,,17.80306327,completed,5010,5124.7861598156,114.7861598156,0,0.2249290991081081,229.79724873030773,0.0,5125.011088914708,5183,Edge_cloud(3),Edge_cloud(1),3700,64
56,171,4656.684411,907.8733807,,10.48803784,completed,5010,5155.99703961656,145.99703961656,0,1.605753245172414,293.5998324782922,0.0,5157.602792861732,5183,Edge_cloud(1),Edge_cloud(1),2900,64
57,172,2347.655067,141.0486552,,10.72186284,completed,5130,5175.225569664,45.225569664000005,4.263256414560601e-13,0.046953101340000004,90.49809242934043,0.0,5175.27252276534,5251,CentralCloud(4),Edge_cloud(1),50000,1000000
57,173,989.9939672,597.0843554,,36.89837125,completed,5130,5226.02216434832,96.02216434832002,5.684341886080802e-14,0.2675659370810811,192.31189463372084,0.0,5226.289730285401,5251,Edge_cloud(3),Edge_cloud(1),3700,64
58,174,1581.739127,603.1293792,,31.09164257,completed,5190,5286.99420417536,96.99420417536001,1.9895196601282805e-13,0.5454272851724138,194.5338356358925,0.0,5287.539631460532,5313,Edge_cloud(2),Edge_cloud(2),2900,32
58,175,348.9326895,359.9261331,174,11.11060505,completed,5190,5287.5415474605325,57.88712220248,39.654425258052456,0.0943061322972973,155.52297579530932,5287.5415474605325,5287.635853592829,5313,Edge_cloud(3),Edge_cloud(2),3700,64
59,176,2394.672898,463.8817603,,8.108204337,completed,5250,5398.532163296,148.532163296,3.694822225952521e-13,0.04789345796,297.11222004996034,0.0,5398.58005675396,5402,CentralCloud(4),Edge_cloud(0),50000,1000000
59,177,4280.328042,47.60174766,176,6.913677953,completed,5250,5398.91925675396,7.665361023728,141.25389573023233,1.4759751868965518,158.06059296458534,5398.91925675396,5400.395231940857,5402,Edge_cloud(2),Edge_cloud(0),2900,32
59,178,4674.544234,748.4014382,177,31.76213374,rejected,5250,,0,0,0,0,5364.345464640503,,5402,,Edge_cloud(0),,
59,179,4669.750817,553.8292546,177,1.005813601,rejected,5250,,0,0,0,0,5364.3457662405035,,5402,,Edge_cloud(0),,
59,180,713.6271256,67.16364135,,1.897647788,completed,5250,5260.81091352908,10.81091352908,0,6.487519323636364,28.10934638179606,0.0,5267.298432852716,5402,Edge_cloud(0),Edge_cloud(0),110,64
60,181,1972.064024,683.948334,,20.08810365,completed,5400,5509.9898921072,109.9898921072,0,0.5329902767567568,220.51277449115696,0.0,5510.522882383957,5527,Edge_cloud(3),Edge_cloud(1),3700,64
60,182,238.3209223,472.1142565,181,34.87614335,completed,5400,5510.525477583957,75.92697244520001,34.598505138756664,2.166553839090909,188.6190038682471,5510.525477583957,5512.692031423047,5527,Edge_cloud(0),Edge_cloud(1),110,64
61,183,4290.31019,44.11664683,,35.05692945,completed,5460,5467.104956810264,7.1049568102639995,4.121147867408581e-13,39.00281990909091,53.21273352961998,0.0,5506.107776719356,5619,Edge_cloud(0),Edge_cloud(0),110,64
61,184,1857.903234,969.9116496,183,22.07579541,rejected,5460,,0,0,0,0,5506.110055119356,,5619,,Edge_cloud(0),,
